[14/09/2020 23:40:34]{"temperature_inside": 27.5, "temperature_outside": 25.815234375, "pressure_inside": 966.16, "pressure_outside": 958.2812446953933, "humidity_inside": 0, "humidity_outside": 52.19624839897273, "rotation_x": 0.00710089163546194, "rotation_y": -0.025937079781732368, "rotation_z": 2.4427480916030535, "gps_x": 0, "gps_y": 0, "time": 1600119632.0627143}
[14/09/2020 23:40:34]{"temperature_inside": 27.5, "temperature_outside": 25.815234375, "pressure_inside": 966.21, "pressure_outside": 958.2861856936058, "humidity_inside": 0, "humidity_outside": 52.527515491401374, "rotation_x": 0.0384212997080451, "rotation_y": -0.031235604197402116, "rotation_z": 5.480916030534351, "gps_x": 0, "gps_y": 0, "time": 1600119632.4870775}
[14/09/2020 23:40:35]{"temperature_inside": 27.5, "temperature_outside": 25.815234375, "pressure_inside": 966.21, "pressure_outside": 958.3188157219118, "humidity_inside": 0, "humidity_outside": 52.58061010782807, "rotation_x": 0.17226155729895684, "rotation_y": -0.022974959702862428, "rotation_z": 4.419847328244275, "gps_x": 0, "gps_y": 0, "time": 1600119632.9125595}
[14/09/2020 23:40:35]{"temperature_inside": 27.5, "temperature_outside": 25.8099609375, "pressure_inside": 966.13, "pressure_outside": 958.3125376942666, "humidity_inside": 0, "humidity_outside": 52.4032178104705, "rotation_x": 0.29826082411273047, "rotation_y": -0.010823649108868252, "rotation_z": 2.6106870229007635, "gps_x": 0, "gps_y": 0, "time": 1600119633.337337}
[14/09/2020 23:40:36]{"temperature_inside": 27.5, "temperature_outside": 25.815234375, "pressure_inside": 966.14, "pressure_outside": 958.3059496924917, "humidity_inside": 0, "humidity_outside": 52.42687065307044, "rotation_x": 0.3874881006338706, "rotation_y": -0.0021538826720955938, "rotation_z": 3.2748091603053435, "gps_x": 0, "gps_y": 0, "time": 1600119633.762965}
[14/09/2020 23:40:36]{"temperature_inside": 27.5, "temperature_outside": 25.8046875, "pressure_inside": 966.13, "pressure_outside": 958.318810447223, "humidity_inside": 0, "humidity_outside": 52.42674502788006, "rotation_x": 0.4765763722525884, "rotation_y": 0.007331015216654572, "rotation_z": 6.190839694656488, "gps_x": 0, "gps_y": 0, "time": 1600119634.1878834}
[14/09/2020 23:40:37]{"temperature_inside": 27.5, "temperature_outside": 25.8099609375, "pressure_inside": 966.16, "pressure_outside": 958.3191256971143, "humidity_inside": 0, "humidity_outside": 52.40900561970398, "rotation_x": 0.5798056360208654, "rotation_y": 0.01618321597724075, "rotation_z": 4.267175572519084, "gps_x": 0, "gps_y": 0, "time": 1600119634.6125476}
[14/09/2020 23:40:37]{"temperature_inside": 27.5, "temperature_outside": 25.799609375, "pressure_inside": 966.16, "pressure_outside": 958.294420691968, "humidity_inside": 0, "humidity_outside": 52.326220487642274, "rotation_x": 0.6700733344110651, "rotation_y": 0.022477507625083257, "rotation_z": 2.9083969465648853, "gps_x": 0, "gps_y": 0, "time": 1600119635.0383573}
[14/09/2020 23:40:37]{"temperature_inside": 27.5, "temperature_outside": 25.799609375, "pressure_inside": 966.16, "pressure_outside": 958.2845440357107, "humidity_inside": 0, "humidity_outside": 52.21386600387994, "rotation_x": 0.7347827320010549, "rotation_y": 0.027122314451212545, "rotation_z": 1.9770992366412214, "gps_x": 0, "gps_y": 0, "time": 1600119635.4635608}
[14/09/2020 23:40:38]{"temperature_inside": 27.5, "temperature_outside": 25.8099609375, "pressure_inside": 966.2, "pressure_outside": 958.3125428043231, "humidity_inside": 0, "humidity_outside": 52.40900561970398, "rotation_x": 0.7810439957284678, "rotation_y": 0.029133720167385302, "rotation_z": 2.8244274809160306, "gps_x": 0, "gps_y": 0, "time": 1600119635.8897145}
