[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.81, 'pressure_outside': 957.76021516865, 'humidity_inside': 0, 'humidity_outside': 46.76680581421974, 'rotation_x': -0.05958700422860226, 'rotation_y': -0.058997440565128526, 'rotation_z': 1.8778625954198473, 'gps_x': 0, 'gps_y': 0, 'time': 1600433768.5280423}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.82, 'pressure_outside': 957.7585816206015, 'humidity_inside': 0, 'humidity_outside': 46.618966581721885, 'rotation_x': -0.0598764953390965, 'rotation_y': -0.05949785182001892, 'rotation_z': 1.717557251908397, 'gps_x': 0, 'gps_y': 0, 'time': 1600433768.766735}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.76, 'pressure_outside': 957.7421253083866, 'humidity_inside': 0, 'humidity_outside': 46.471178218263105, 'rotation_x': -0.05966416492550222, 'rotation_y': -0.05946858300235642, 'rotation_z': 1.8549618320610688, 'gps_x': 0, 'gps_y': 0, 'time': 1600433769.0051796}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.75, 'pressure_outside': 957.7602209874455, 'humidity_inside': 0, 'humidity_outside': 46.471178218263105, 'rotation_x': -0.05920656639831854, 'rotation_y': -0.06036042847774603, 'rotation_z': 1.6412213740458015, 'gps_x': 0, 'gps_y': 0, 'time': 1600433769.245064}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.81, 'pressure_outside': 957.752001318539, 'humidity_inside': 0, 'humidity_outside': 46.347035189692136, 'rotation_x': -0.0595542788360215, 'rotation_y': -0.06043062314114578, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600433769.4832885}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.79, 'pressure_outside': 957.7503448789449, 'humidity_inside': 0, 'humidity_outside': 46.453548120599045, 'rotation_x': -0.059548317674476874, 'rotation_y': -0.060233592901110126, 'rotation_z': 1.900763358778626, 'gps_x': 0, 'gps_y': 0, 'time': 1600433769.723138}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.08359375, 'pressure_inside': 965.78, 'pressure_outside': 957.7569365449855, 'humidity_inside': 0, 'humidity_outside': 46.58354282758326, 'rotation_x': -0.0591766486993186, 'rotation_y': -0.05977549739790445, 'rotation_z': 2.045801526717557, 'gps_x': 0, 'gps_y': 0, 'time': 1600433769.9615734}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.08359375, 'pressure_inside': 965.81, 'pressure_outside': 957.7470660926947, 'humidity_inside': 0, 'humidity_outside': 46.32337787766602, 'rotation_x': -0.059185385917709915, 'rotation_y': -0.059731392821819135, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600433770.2000473}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.79, 'pressure_outside': 957.7569308633781, 'humidity_inside': 0, 'humidity_outside': 46.613168616051546, 'rotation_x': -0.059278247625282554, 'rotation_y': -0.05990703890281748, 'rotation_z': 1.8625954198473282, 'gps_x': 0, 'gps_y': 0, 'time': 1600433770.4396927}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.78, 'pressure_outside': 957.7799676096982, 'humidity_inside': 0, 'humidity_outside': 46.530259958302246, 'rotation_x': -0.059436109909696784, 'rotation_y': -0.06086938915984495, 'rotation_z': 1.9465648854961832, 'gps_x': 0, 'gps_y': 0, 'time': 1600433770.6781394}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.81, 'pressure_outside': 957.7651561740485, 'humidity_inside': 0, 'humidity_outside': 46.353005369728, 'rotation_x': -0.059186858096731534, 'rotation_y': -0.06057993858358249, 'rotation_z': 1.8931297709923665, 'gps_x': 0, 'gps_y': 0, 'time': 1600433770.9177809}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.08359375, 'pressure_inside': 965.9, 'pressure_outside': 957.7585701201986, 'humidity_inside': 0, 'humidity_outside': 46.613227559509745, 'rotation_x': -0.059144853078412135, 'rotation_y': -0.06026201478805236, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600433771.1630607}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.82, 'pressure_outside': 957.7635111117805, 'humidity_inside': 0, 'humidity_outside': 46.713584430661534, 'rotation_x': -0.059753259160893524, 'rotation_y': -0.059654038540982626, 'rotation_z': 1.816793893129771, 'gps_x': 0, 'gps_y': 0, 'time': 1600433771.401588}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.06796875, 'pressure_inside': 965.82, 'pressure_outside': 957.7684520757025, 'humidity_inside': 0, 'humidity_outside': 46.58354282758326, 'rotation_x': -0.05937130452162116, 'rotation_y': -0.06034711260016072, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433771.6415336}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.84, 'pressure_outside': 957.7799557552859, 'humidity_inside': 0, 'humidity_outside': 46.5599435961741, 'rotation_x': -0.05934922074558334, 'rotation_y': -0.059985973478272045, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600433771.8803234}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.78, 'pressure_outside': 957.7865479163105, 'humidity_inside': 0, 'humidity_outside': 46.63676687356282, 'rotation_x': -0.05919852984214294, 'rotation_y': -0.06002365463959407, 'rotation_z': 1.7709923664122138, 'gps_x': 0, 'gps_y': 0, 'time': 1600433772.1203892}
[18/09/2020 14:56:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.79, 'pressure_outside': 957.7519956777786, 'humidity_inside': 0, 'humidity_outside': 46.63682391315599, 'rotation_x': -0.05957763725958485, 'rotation_y': -0.05926026345464131, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600433772.3590708}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.82, 'pressure_outside': 957.7226783014479, 'humidity_inside': 0, 'humidity_outside': 46.33526222292534, 'rotation_x': -0.058761367050826956, 'rotation_y': -0.05906764514956824, 'rotation_z': 1.8625954198473282, 'gps_x': 0, 'gps_y': 0, 'time': 1600433772.6053977}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.85, 'pressure_outside': 957.763516847851, 'humidity_inside': 0, 'humidity_outside': 46.418062783076046, 'rotation_x': -0.05898605878360974, 'rotation_y': -0.059888659246204144, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600433772.8447998}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.08359375, 'pressure_inside': 965.78, 'pressure_outside': 957.7404802470554, 'humidity_inside': 0, 'humidity_outside': 46.477204806671935, 'rotation_x': -0.05868045884768344, 'rotation_y': -0.060331389557571995, 'rotation_z': 2.0076335877862594, 'gps_x': 0, 'gps_y': 0, 'time': 1600433773.0828745}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.82, 'pressure_outside': 957.7585816206015, 'humidity_inside': 0, 'humidity_outside': 46.66639280323177, 'rotation_x': -0.05850063750501882, 'rotation_y': -0.06044562569964339, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600433773.3233428}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.76, 'pressure_outside': 957.7602266962843, 'humidity_inside': 0, 'humidity_outside': 46.50666218002023, 'rotation_x': -0.058445775578320334, 'rotation_y': -0.06020379061862269, 'rotation_z': 1.9618320610687023, 'gps_x': 0, 'gps_y': 0, 'time': 1600433773.561539}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.85, 'pressure_outside': 957.7697979777781, 'humidity_inside': 0, 'humidity_outside': 46.6841937933991, 'rotation_x': -0.0591339041383921, 'rotation_y': -0.058885216011175134, 'rotation_z': 1.8625954198473282, 'gps_x': 0, 'gps_y': 0, 'time': 1600433773.7995284}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.85, 'pressure_outside': 957.7470604927814, 'humidity_inside': 0, 'humidity_outside': 46.465319282571684, 'rotation_x': -0.05919424122395012, 'rotation_y': -0.060211592358353286, 'rotation_z': 1.984732824427481, 'gps_x': 0, 'gps_y': 0, 'time': 1600433774.0390174}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.79, 'pressure_outside': 957.7730881563458, 'humidity_inside': 0, 'humidity_outside': 46.53043174892932, 'rotation_x': -0.05935597308028031, 'rotation_y': -0.06001554241188545, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600433774.2771485}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.08359375, 'pressure_inside': 965.76, 'pressure_outside': 957.7566372661839, 'humidity_inside': 0, 'humidity_outside': 46.400319975528404, 'rotation_x': -0.05924449168476597, 'rotation_y': -0.06066872518861058, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600433774.5163057}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.08359375, 'pressure_inside': 965.85, 'pressure_outside': 957.7533470889546, 'humidity_inside': 0, 'humidity_outside': 46.29977565174772, 'rotation_x': -0.058103032159265065, 'rotation_y': -0.05999482408204615, 'rotation_z': 1.984732824427481, 'gps_x': 0, 'gps_y': 0, 'time': 1600433774.754084}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.84, 'pressure_outside': 957.7306153442291, 'humidity_inside': 0, 'humidity_outside': 46.84977591541938, 'rotation_x': -0.058383243335682254, 'rotation_y': -0.06068557215765286, 'rotation_z': 1.8778625954198473, 'gps_x': 0, 'gps_y': 0, 'time': 1600433774.992146}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.88, 'pressure_outside': 957.7552858014446, 'humidity_inside': 0, 'humidity_outside': 46.60134090581805, 'rotation_x': -0.058454847218939496, 'rotation_y': -0.060583601404925205, 'rotation_z': 1.8778625954198473, 'gps_x': 0, 'gps_y': 0, 'time': 1600433775.2314544}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.85, 'pressure_outside': 957.7552858014446, 'humidity_inside': 0, 'humidity_outside': 46.53043174892932, 'rotation_x': -0.0588839896008361, 'rotation_y': -0.06026159808005986, 'rotation_z': 1.9389312977099236, 'gps_x': 0, 'gps_y': 0, 'time': 1600433775.4692388}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.81, 'pressure_outside': 957.7846037834403, 'humidity_inside': 0, 'humidity_outside': 46.59548576972716, 'rotation_x': -0.058583379859597086, 'rotation_y': -0.060125000451076716, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600433775.7083127}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.88, 'pressure_outside': 957.7388351857911, 'humidity_inside': 0, 'humidity_outside': 46.52445978697958, 'rotation_x': -0.057792022629187347, 'rotation_y': -0.060166569430691985, 'rotation_z': 1.9389312977099236, 'gps_x': 0, 'gps_y': 0, 'time': 1600433775.9460573}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.86, 'pressure_outside': 957.7500623207671, 'humidity_inside': 0, 'humidity_outside': 46.83794888828119, 'rotation_x': -0.05888008596307937, 'rotation_y': -0.06068041749597059, 'rotation_z': 1.6717557251908397, 'gps_x': 0, 'gps_y': 0, 'time': 1600433776.1839821}
[18/09/2020 14:56:17]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.82, 'pressure_outside': 957.7602266962843, 'humidity_inside': 0, 'humidity_outside': 46.75521915087981, 'rotation_x': -0.058522632253429005, 'rotation_y': -0.059871610049542376, 'rotation_z': 1.9465648854961832, 'gps_x': 0, 'gps_y': 0, 'time': 1600433776.4234319}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.79, 'pressure_outside': 957.7763783351812, 'humidity_inside': 0, 'humidity_outside': 46.400319975528404, 'rotation_x': -0.05839572804421919, 'rotation_y': -0.06002560328690619, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600433776.6689594}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.86, 'pressure_outside': 957.7911898924211, 'humidity_inside': 0, 'humidity_outside': 46.86160290143574, 'rotation_x': -0.05853984569971971, 'rotation_y': -0.06141584063495166, 'rotation_z': 3.0916030534351147, 'gps_x': 0, 'gps_y': 0, 'time': 1600433776.9083397}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.89, 'pressure_outside': 957.7421308674525, 'humidity_inside': 0, 'humidity_outside': 46.67236619055543, 'rotation_x': -0.05884223037544246, 'rotation_y': -0.0626950442231686, 'rotation_z': 2.0839694656488548, 'gps_x': 0, 'gps_y': 0, 'time': 1600433777.1464732}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.88, 'pressure_outside': 957.7306153442291, 'humidity_inside': 0, 'humidity_outside': 46.71376262060032, 'rotation_x': -0.05949873900928936, 'rotation_y': -0.06058125583026436, 'rotation_z': 1.2595419847328244, 'gps_x': 0, 'gps_y': 0, 'time': 1600433777.384821}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.82, 'pressure_outside': 957.7533470889546, 'humidity_inside': 0, 'humidity_outside': 46.84977591541938, 'rotation_x': -0.05889672335101114, 'rotation_y': -0.06016957952372007, 'rotation_z': 1.9236641221374047, 'gps_x': 0, 'gps_y': 0, 'time': 1600433777.6240938}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.73, 'pressure_outside': 957.7618717720342, 'humidity_inside': 0, 'humidity_outside': 46.74918432817567, 'rotation_x': -0.058948144036987775, 'rotation_y': -0.059794188864815724, 'rotation_z': 2.0610687022900764, 'gps_x': 0, 'gps_y': 0, 'time': 1600433777.862402}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.78, 'pressure_outside': 957.7665133444103, 'humidity_inside': 0, 'humidity_outside': 46.92079976917814, 'rotation_x': -0.059346488441435113, 'rotation_y': -0.060207006623639626, 'rotation_z': 1.7709923664122138, 'gps_x': 0, 'gps_y': 0, 'time': 1600433778.1015806}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.85, 'pressure_outside': 957.7826705530047, 'humidity_inside': 0, 'humidity_outside': 46.6606553110415, 'rotation_x': -0.05903142229420627, 'rotation_y': -0.06038977597778712, 'rotation_z': 1.984732824427481, 'gps_x': 0, 'gps_y': 0, 'time': 1600433778.3395174}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.78, 'pressure_outside': 957.7648627104286, 'humidity_inside': 0, 'humidity_outside': 46.55414613566214, 'rotation_x': -0.058808923397473775, 'rotation_y': -0.06005704121491812, 'rotation_z': 1.7557251908396947, 'gps_x': 0, 'gps_y': 0, 'time': 1600433778.5775135}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.78, 'pressure_outside': 957.7454210175471, 'humidity_inside': 0, 'humidity_outside': 46.554087900418544, 'rotation_x': -0.05890081459094271, 'rotation_y': -0.06005069675308809, 'rotation_z': 1.8702290076335877, 'gps_x': 0, 'gps_y': 0, 'time': 1600433778.8169374}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.75, 'pressure_outside': 957.7632231391462, 'humidity_inside': 0, 'humidity_outside': 46.577858737234756, 'rotation_x': -0.059321743949101446, 'rotation_y': -0.06041493974054787, 'rotation_z': 1.83206106870229, 'gps_x': 0, 'gps_y': 0, 'time': 1600433779.0550594}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.84, 'pressure_outside': 957.7566372661839, 'humidity_inside': 0, 'humidity_outside': 46.83209686888635, 'rotation_x': -0.058464311684819824, 'rotation_y': -0.05999251364408815, 'rotation_z': 1.916030534351145, 'gps_x': 0, 'gps_y': 0, 'time': 1600433779.2943752}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.104296875, 'pressure_inside': 965.76, 'pressure_outside': 957.7994154117703, 'humidity_inside': 0, 'humidity_outside': 46.6841937933991, 'rotation_x': -0.058804279967235314, 'rotation_y': -0.05998608568509117, 'rotation_z': 1.8702290076335877, 'gps_x': 0, 'gps_y': 0, 'time': 1600433779.5325058}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.82, 'pressure_outside': 957.7566427294216, 'humidity_inside': 0, 'humidity_outside': 46.74339165543757, 'rotation_x': -0.05902481974934891, 'rotation_y': -0.05987350893042288, 'rotation_z': 1.8702290076335877, 'gps_x': 0, 'gps_y': 0, 'time': 1600433779.7703977}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.82, 'pressure_outside': 957.748711167909, 'humidity_inside': 0, 'humidity_outside': 46.45940517558973, 'rotation_x': -0.058960811205775884, 'rotation_y': -0.06023556730647169, 'rotation_z': 1.7938931297709924, 'gps_x': 0, 'gps_y': 0, 'time': 1600433780.0096605}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.85, 'pressure_outside': 957.7467667352986, 'humidity_inside': 0, 'humidity_outside': 46.39446203977587, 'rotation_x': -0.05936527166567978, 'rotation_y': -0.06078847041737, 'rotation_z': 1.9389312977099236, 'gps_x': 0, 'gps_y': 0, 'time': 1600433780.2475798}
[18/09/2020 14:56:21]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.73, 'pressure_outside': 957.7517020004402, 'humidity_inside': 0, 'humidity_outside': 46.46548873542505, 'rotation_x': -0.05905254836167203, 'rotation_y': -0.061116837201228125, 'rotation_z': 1.7633587786259541, 'gps_x': 0, 'gps_y': 0, 'time': 1600433780.4869375}
