[18/09/2020 15:20:44]{'temperature_inside': 26.7, 'temperature_outside': 25.1666015625, 'pressure_inside': 965.86, 'pressure_outside': 957.8713943784211, 'humidity_inside': 0, 'humidity_outside': 46.11134075660628, 'rotation_x': -0.00657179973870577, 'rotation_y': 0.054274233488221996, 'rotation_z': 1.748091603053435, 'gps_x': 0, 'gps_y': 0, 'time': 1600435241.4145932}
[18/09/2020 15:20:44]{'temperature_inside': 26.7, 'temperature_outside': 25.1716796875, 'pressure_inside': 965.9, 'pressure_outside': 957.8697537382566, 'humidity_inside': 0, 'humidity_outside': 46.20604754867789, 'rotation_x': -0.00622597450488099, 'rotation_y': 0.05500635769266083, 'rotation_z': 2.0610687022900764, 'gps_x': 0, 'gps_y': 0, 'time': 1600435241.6526616}
[18/09/2020 15:20:44]{'temperature_inside': 26.7, 'temperature_outside': 25.1666015625, 'pressure_inside': 965.95, 'pressure_outside': 957.847015039865, 'humidity_inside': 0, 'humidity_outside': 46.17641487308921, 'rotation_x': -0.004898711956408367, 'rotation_y': 0.054462670181557614, 'rotation_z': 1.748091603053435, 'gps_x': 0, 'gps_y': 0, 'time': 1600435241.8923526}
[18/09/2020 15:20:44]{'temperature_inside': 26.7, 'temperature_outside': 25.161328125, 'pressure_inside': 965.9, 'pressure_outside': 957.8190450588777, 'humidity_inside': 0, 'humidity_outside': 46.33613697407842, 'rotation_x': -0.006602250350760316, 'rotation_y': 0.05434792693125848, 'rotation_z': 1.9465648854961832, 'gps_x': 0, 'gps_y': 0, 'time': 1600435242.131039}
[18/09/2020 15:20:44]{'temperature_inside': 26.7, 'temperature_outside': 25.18203125, 'pressure_inside': 965.77, 'pressure_outside': 957.8503056271352, 'humidity_inside': 0, 'humidity_outside': 46.158667510186966, 'rotation_x': -0.00664508176620344, 'rotation_y': 0.05440364452122215, 'rotation_z': 1.9389312977099236, 'gps_x': 0, 'gps_y': 0, 'time': 1600435242.369356}
[18/09/2020 15:20:44]{'temperature_inside': 26.7, 'temperature_outside': 25.1716796875, 'pressure_inside': 965.87, 'pressure_outside': 957.8486603334667, 'humidity_inside': 0, 'humidity_outside': 46.37749128177435, 'rotation_x': -0.007146122276279455, 'rotation_y': 0.053985146227328425, 'rotation_z': 1.8549618320610688, 'gps_x': 0, 'gps_y': 0, 'time': 1600435242.6087792}
[18/09/2020 15:20:44]{'temperature_inside': 26.7, 'temperature_outside': 25.1716796875, 'pressure_inside': 965.81, 'pressure_outside': 957.8239764317959, 'humidity_inside': 0, 'humidity_outside': 46.33613697407842, 'rotation_x': -0.007543201753229701, 'rotation_y': 0.0533722796519465, 'rotation_z': 2.015267175572519, 'gps_x': 0, 'gps_y': 0, 'time': 1600435242.8470614}
[18/09/2020 15:20:44]{'temperature_inside': 26.7, 'temperature_outside': 25.161328125, 'pressure_inside': 965.92, 'pressure_outside': 957.837143279661, 'humidity_inside': 0, 'humidity_outside': 46.45433314119798, 'rotation_x': -0.007866619566981573, 'rotation_y': 0.052682959780186694, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600435243.0864365}
[18/09/2020 15:20:44]{'temperature_inside': 26.7, 'temperature_outside': 25.161328125, 'pressure_inside': 965.87, 'pressure_outside': 957.8503056271352, 'humidity_inside': 0, 'humidity_outside': 46.217825026578176, 'rotation_x': -0.007856660566157013, 'rotation_y': 0.05405240998645777, 'rotation_z': 1.8549618320610688, 'gps_x': 0, 'gps_y': 0, 'time': 1600435243.3243692}
[18/09/2020 15:20:46]{'temperature_inside': 26.7, 'temperature_outside': 25.15625, 'pressure_inside': 965.87, 'pressure_outside': 957.8206858738996, 'humidity_inside': 0, 'humidity_outside': 46.4069552491243, 'rotation_x': -0.008087266289979711, 'rotation_y': 0.05367502400155582, 'rotation_z': 1.702290076335878, 'gps_x': 0, 'gps_y': 0, 'time': 1600435243.569339}
[18/09/2020 15:20:46]{'temperature_inside': 26.7, 'temperature_outside': 25.1716796875, 'pressure_inside': 965.93, 'pressure_outside': 957.8239764317959, 'humidity_inside': 0, 'humidity_outside': 46.188194642175546, 'rotation_x': -0.007266840233351834, 'rotation_y': 0.05396728650861033, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600435243.8090477}
