[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
[18/09/2020 14:35:35]{'temperature_inside': 26.5, 'temperature_outside': 25.0109375, 'pressure_inside': 966.02, 'pressure_outside': 957.9294485523116, 'humidity_inside': 0, 'humidity_outside': 46.32266732403864, 'rotation_x': 0.030085498546850963, 'rotation_y': -0.1192527159953746, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600432534.2872324}
