[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:50]{'temperature_inside': 26.0, 'temperature_outside': 24.590625, 'pressure_inside': 966.68, 'pressure_outside': 958.7727631528068, 'humidity_inside': 0, 'humidity_outside': 44.746215885181286, 'rotation_x': 0.030616524383962326, 'rotation_y': -0.11712880577280575, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600419590.1713965}
[18/09/2020 10:59:55]{'temperature_inside': 25.9, 'temperature_outside': 24.5853515625, 'pressure_inside': 966.72, 'pressure_outside': 958.7629001706554, 'humidity_inside': 0, 'humidity_outside': 44.67529000065481, 'rotation_x': 0.030042011549609546, 'rotation_y': -0.11726910396286191, 'rotation_z': 1.8625954198473282, 'gps_x': 0, 'gps_y': 0, 'time': 1600419594.2343836}
