[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
[18/09/2020 00:08:10]{'temperature_inside': 27.4, 'temperature_outside': 26.0486328125, 'pressure_inside': 965.98, 'pressure_outside': 958.1792222993732, 'humidity_inside': 0, 'humidity_outside': 52.687439856246016, 'rotation_x': -0.5144267333788128, 'rotation_y': 0.012474406053626775, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600380490.3454585}
