[18/09/2020 15:19:30]{'temperature_inside': 26.5, 'temperature_outside': 25.140625, 'pressure_inside': 965.79, 'pressure_outside': 957.7834316961555, 'humidity_inside': 0, 'humidity_outside': 46.21159101261978, 'rotation_x': -0.12325245694909599, 'rotation_y': -0.047492947929611666, 'rotation_z': 2.1526717557251906, 'gps_x': 0, 'gps_y': 0, 'time': 1600435168.0875921}
[18/09/2020 15:19:30]{'temperature_inside': 26.6, 'temperature_outside': 25.140625, 'pressure_inside': 965.85, 'pressure_outside': 957.7916577484683, 'humidity_inside': 0, 'humidity_outside': 46.35360894232278, 'rotation_x': -0.12318972912617515, 'rotation_y': -0.04661918984326773, 'rotation_z': 2.0076335877862594, 'gps_x': 0, 'gps_y': 0, 'time': 1600435168.3272247}
[18/09/2020 15:19:30]{'temperature_inside': 26.6, 'temperature_outside': 25.1458984375, 'pressure_inside': 965.84, 'pressure_outside': 957.7949529763104, 'humidity_inside': 0, 'humidity_outside': 46.49551357267645, 'rotation_x': -0.1225034601680912, 'rotation_y': -0.04652599999192365, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600435168.5653732}
[18/09/2020 15:19:30]{'temperature_inside': 26.5, 'temperature_outside': 25.1458984375, 'pressure_inside': 965.82, 'pressure_outside': 957.8295027030396, 'humidity_inside': 0, 'humidity_outside': 46.270743499705496, 'rotation_x': -0.12285195062280359, 'rotation_y': -0.04746814707331215, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600435168.803703}
[18/09/2020 15:19:30]{'temperature_inside': 26.6, 'temperature_outside': 25.1458984375, 'pressure_inside': 965.94, 'pressure_outside': 957.8179861241841, 'humidity_inside': 0, 'humidity_outside': 46.17609902679178, 'rotation_x': -0.12276148371760243, 'rotation_y': -0.047140887596256516, 'rotation_z': 1.7328244274809161, 'gps_x': 0, 'gps_y': 0, 'time': 1600435169.043038}
[18/09/2020 15:19:30]{'temperature_inside': 26.6, 'temperature_outside': 25.1509765625, 'pressure_inside': 965.9, 'pressure_outside': 957.8064646468473, 'humidity_inside': 0, 'humidity_outside': 46.35947030230061, 'rotation_x': -0.12289624167642228, 'rotation_y': -0.047264798312577835, 'rotation_z': 1.5801526717557253, 'gps_x': 0, 'gps_y': 0, 'time': 1600435169.2818131}
[18/09/2020 15:19:30]{'temperature_inside': 26.5, 'temperature_outside': 25.1353515625, 'pressure_inside': 965.82, 'pressure_outside': 957.8229218004349, 'humidity_inside': 0, 'humidity_outside': 46.383020233956046, 'rotation_x': -0.12325147569071013, 'rotation_y': -0.04777922141896343, 'rotation_z': 1.549618320610687, 'gps_x': 0, 'gps_y': 0, 'time': 1600435169.5214825}
[18/09/2020 15:19:30]{'temperature_inside': 26.5, 'temperature_outside': 25.161328125, 'pressure_inside': 965.79, 'pressure_outside': 957.7850769064842, 'humidity_inside': 0, 'humidity_outside': 46.47185426422877, 'rotation_x': -0.12375426500025857, 'rotation_y': -0.04701915960693915, 'rotation_z': 1.717557251908397, 'gps_x': 0, 'gps_y': 0, 'time': 1600435169.7593892}
[18/09/2020 15:19:30]{'temperature_inside': 26.6, 'temperature_outside': 25.1458984375, 'pressure_inside': 965.81, 'pressure_outside': 957.822621873994, 'humidity_inside': 0, 'humidity_outside': 46.4895987609888, 'rotation_x': -0.12267021820241017, 'rotation_y': -0.047906357015146145, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600435169.9993043}
[18/09/2020 15:19:33]{'temperature_inside': 26.6, 'temperature_outside': 25.1353515625, 'pressure_inside': 965.84, 'pressure_outside': 957.8064646468473, 'humidity_inside': 0, 'humidity_outside': 46.59014916121195, 'rotation_x': -0.12283899908150644, 'rotation_y': -0.04722118798649158, 'rotation_z': 1.6106870229007633, 'gps_x': 0, 'gps_y': 0, 'time': 1600435170.2458258}
[18/09/2020 15:19:33]{'temperature_inside': 26.6, 'temperature_outside': 25.140625, 'pressure_inside': 965.87, 'pressure_outside': 957.8163359154446, 'humidity_inside': 0, 'humidity_outside': 46.41862021867504, 'rotation_x': -0.12293253608817087, 'rotation_y': -0.04838517457059772, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600435170.4840982}
[18/09/2020 15:19:33]{'temperature_inside': 26.6, 'temperature_outside': 25.1458984375, 'pressure_inside': 965.9, 'pressure_outside': 957.8294976106554, 'humidity_inside': 0, 'humidity_outside': 46.37135425735363, 'rotation_x': -0.12256322255995483, 'rotation_y': -0.04758294617572356, 'rotation_z': 1.618320610687023, 'gps_x': 0, 'gps_y': 0, 'time': 1600435170.7239428}
[18/09/2020 15:19:33]{'temperature_inside': 26.6, 'temperature_outside': 25.1458984375, 'pressure_inside': 965.88, 'pressure_outside': 957.8294976106554, 'humidity_inside': 0, 'humidity_outside': 46.24121979796392, 'rotation_x': -0.12299183701718874, 'rotation_y': -0.04781412276694773, 'rotation_z': 1.8931297709923665, 'gps_x': 0, 'gps_y': 0, 'time': 1600435170.9620712}
[18/09/2020 15:19:33]{'temperature_inside': 26.6, 'temperature_outside': 25.140625, 'pressure_inside': 965.81, 'pressure_outside': 957.8311479288582, 'humidity_inside': 0, 'humidity_outside': 46.430450078555786, 'rotation_x': -0.12329896507487177, 'rotation_y': -0.04686872370358505, 'rotation_z': 1.8778625954198473, 'gps_x': 0, 'gps_y': 0, 'time': 1600435171.2005167}
[18/09/2020 15:19:33]{'temperature_inside': 26.6, 'temperature_outside': 25.1458984375, 'pressure_inside': 965.94, 'pressure_outside': 957.8423647422122, 'humidity_inside': 0, 'humidity_outside': 46.158299430235935, 'rotation_x': -0.12392850468543602, 'rotation_y': -0.046748375853646586, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600435171.439751}
[18/09/2020 15:19:33]{'temperature_inside': 26.6, 'temperature_outside': 25.1353515625, 'pressure_inside': 965.87, 'pressure_outside': 957.8163359154446, 'humidity_inside': 0, 'humidity_outside': 46.44227989730515, 'rotation_x': -0.12449296825854272, 'rotation_y': -0.046720670455805614, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600435171.6780188}
