[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
[18/09/2020 14:16:43]{'temperature_inside': 26.3, 'temperature_outside': 24.88125, 'pressure_inside': 966.03, 'pressure_outside': 958.0216329975407, 'humidity_inside': 0, 'humidity_outside': 45.546720975973564, 'rotation_x': 0.029594489726730726, 'rotation_y': -0.11815548244352402, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600431402.315586}
