[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
[18/09/2020 00:09:27]{'temperature_inside': 27.4, 'temperature_outside': 26.074609375, 'pressure_inside': 965.97, 'pressure_outside': 958.1129893862015, 'humidity_inside': 0, 'humidity_outside': 52.36843996546907, 'rotation_x': -0.5521697908861671, 'rotation_y': 0.009254744060875392, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600380567.5354967}
