[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.83, 'pressure_outside': 957.8457707239967, 'humidity_inside': 0, 'humidity_outside': 46.40020918451113, 'rotation_x': -0.1239928204024214, 'rotation_y': -0.04559475879127711, 'rotation_z': 1.7938931297709924, 'gps_x': 0, 'gps_y': 0, 'time': 1600434648.192301}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.8, 'pressure_outside': 957.8145018050823, 'humidity_inside': 0, 'humidity_outside': 46.583657858469834, 'rotation_x': -0.1248482959881175, 'rotation_y': -0.04563767042878074, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600434648.4327888}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.08359375, 'pressure_inside': 965.86, 'pressure_outside': 957.8210820083889, 'humidity_inside': 0, 'humidity_outside': 46.85556809210555, 'rotation_x': -0.1251544494285326, 'rotation_y': -0.04649755460373145, 'rotation_z': 1.8931297709923665, 'gps_x': 0, 'gps_y': 0, 'time': 1600434648.6719437}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.08359375, 'pressure_inside': 965.78, 'pressure_outside': 957.8210820083889, 'humidity_inside': 0, 'humidity_outside': 46.7374174973131, 'rotation_x': -0.12452289106231892, 'rotation_y': -0.04659564754289699, 'rotation_z': 1.900763358778626, 'gps_x': 0, 'gps_y': 0, 'time': 1600434648.912271}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.84, 'pressure_outside': 957.8145018050823, 'humidity_inside': 0, 'humidity_outside': 46.89110796887399, 'rotation_x': -0.12534741456091023, 'rotation_y': -0.04637774487845277, 'rotation_z': 1.9389312977099236, 'gps_x': 0, 'gps_y': 0, 'time': 1600434649.1510105}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.9, 'pressure_outside': 957.8210820083889, 'humidity_inside': 0, 'humidity_outside': 46.837827977043176, 'rotation_x': -0.12472503581338454, 'rotation_y': -0.04629333370806403, 'rotation_z': 1.6946564885496183, 'gps_x': 0, 'gps_y': 0, 'time': 1600434649.3894925}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.088671875, 'pressure_inside': 965.78, 'pressure_outside': 957.8276748568926, 'humidity_inside': 0, 'humidity_outside': 46.494889663278286, 'rotation_x': -0.12498628085145569, 'rotation_y': -0.04625083813861485, 'rotation_z': 1.8625954198473282, 'gps_x': 0, 'gps_y': 0, 'time': 1600434649.6292737}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.08359375, 'pressure_inside': 965.84, 'pressure_outside': 957.8490608825217, 'humidity_inside': 0, 'humidity_outside': 46.64273771173158, 'rotation_x': -0.12454781617586766, 'rotation_y': -0.04580615525851892, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600434649.8677359}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.9, 'pressure_outside': 957.8145142313565, 'humidity_inside': 0, 'humidity_outside': 46.81423339853093, 'rotation_x': -0.12527650913185967, 'rotation_y': -0.04527269694039476, 'rotation_z': 1.702290076335878, 'gps_x': 0, 'gps_y': 0, 'time': 1600434650.1076858}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.088671875, 'pressure_inside': 965.86, 'pressure_outside': 957.8474028323202, 'humidity_inside': 0, 'humidity_outside': 46.83191458479576, 'rotation_x': -0.1260666084729645, 'rotation_y': -0.046092610592060934, 'rotation_z': 1.8549618320610688, 'gps_x': 0, 'gps_y': 0, 'time': 1600434650.346249}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.08359375, 'pressure_inside': 965.87, 'pressure_outside': 957.8029864518717, 'humidity_inside': 0, 'humidity_outside': 46.749126013934145, 'rotation_x': -0.12574208381952737, 'rotation_y': -0.04595320511010476, 'rotation_z': 1.8625954198473282, 'gps_x': 0, 'gps_y': 0, 'time': 1600434650.5849216}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.8, 'pressure_outside': 957.8049300774313, 'humidity_inside': 0, 'humidity_outside': 46.831973838197904, 'rotation_x': -0.12652330984495458, 'rotation_y': -0.04615792076908525, 'rotation_z': 1.7557251908396947, 'gps_x': 0, 'gps_y': 0, 'time': 1600434650.8250868}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.8, 'pressure_outside': 957.8520525222618, 'humidity_inside': 0, 'humidity_outside': 46.77283867950056, 'rotation_x': -0.12502743111184267, 'rotation_y': -0.04607797921964784, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600434651.0639143}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.8, 'pressure_outside': 957.8227396218149, 'humidity_inside': 0, 'humidity_outside': 46.99754681347736, 'rotation_x': -0.12511898980108507, 'rotation_y': -0.04644929172566817, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600434651.302751}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.088671875, 'pressure_inside': 965.81, 'pressure_outside': 957.8260235249967, 'humidity_inside': 0, 'humidity_outside': 46.796314017093245, 'rotation_x': -0.12560714159897288, 'rotation_y': -0.04719691435082325, 'rotation_z': 1.9770992366412214, 'gps_x': 0, 'gps_y': 0, 'time': 1600434651.541115}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.088671875, 'pressure_inside': 965.83, 'pressure_outside': 957.8391904077494, 'humidity_inside': 0, 'humidity_outside': 47.032964154139684, 'rotation_x': -0.12578031640247198, 'rotation_y': -0.04716291976004341, 'rotation_z': 1.7328244274809161, 'gps_x': 0, 'gps_y': 0, 'time': 1600434651.7797184}
[18/09/2020 15:10:52]{'temperature_inside': 26.5, 'temperature_outside': 25.08359375, 'pressure_inside': 965.83, 'pressure_outside': 957.8243784602532, 'humidity_inside': 0, 'humidity_outside': 47.07429083778295, 'rotation_x': -0.1263299261400096, 'rotation_y': -0.04595619996257961, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600434652.0221074}
[18/09/2020 15:10:56]{'temperature_inside': 26.5, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.84, 'pressure_outside': 957.8441192415911, 'humidity_inside': 0, 'humidity_outside': 46.67816277809032, 'rotation_x': -0.12563578624404048, 'rotation_y': -0.04639965446046995, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600434652.2669597}
[18/09/2020 15:10:56]{'temperature_inside': 26.5, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.89, 'pressure_outside': 957.855641200375, 'humidity_inside': 0, 'humidity_outside': 46.87922143493568, 'rotation_x': -0.1254737879298864, 'rotation_y': -0.046502126705714505, 'rotation_z': 1.8015267175572518, 'gps_x': 0, 'gps_y': 0, 'time': 1600434652.5070624}
[18/09/2020 15:10:56]{'temperature_inside': 26.5, 'temperature_outside': 25.088671875, 'pressure_inside': 965.86, 'pressure_outside': 957.8177982019483, 'humidity_inside': 0, 'humidity_outside': 46.867394784080574, 'rotation_x': -0.1254335872811402, 'rotation_y': -0.046360221569473836, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600434652.7460842}
[18/09/2020 15:10:56]{'temperature_inside': 26.5, 'temperature_outside': 25.08359375, 'pressure_inside': 965.84, 'pressure_outside': 957.8227333955766, 'humidity_inside': 0, 'humidity_outside': 46.62482334722742, 'rotation_x': -0.12541626132791978, 'rotation_y': -0.04699732565250053, 'rotation_z': 1.984732824427481, 'gps_x': 0, 'gps_y': 0, 'time': 1600434652.9846647}
[18/09/2020 15:10:56]{'temperature_inside': 26.5, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.81, 'pressure_outside': 957.8029864518717, 'humidity_inside': 0, 'humidity_outside': 46.908787882173804, 'rotation_x': -0.12600593999531012, 'rotation_y': -0.046499098979032046, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600434653.2246947}
[18/09/2020 15:10:56]{'temperature_inside': 26.5, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.84, 'pressure_outside': 957.8290212329449, 'humidity_inside': 0, 'humidity_outside': 46.660479045777045, 'rotation_x': -0.1251363067395759, 'rotation_y': -0.04603862965959671, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600434653.4631653}
[18/09/2020 15:10:56]{'temperature_inside': 26.5, 'temperature_outside': 25.08359375, 'pressure_inside': 965.81, 'pressure_outside': 957.8572797678357, 'humidity_inside': 0, 'humidity_outside': 46.6072547660749, 'rotation_x': -0.12501068900262366, 'rotation_y': -0.04591446646010379, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600434653.703315}
