[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.81, 'pressure_outside': 957.7599329341501, 'humidity_inside': 0, 'humidity_outside': 46.42414500532009, 'rotation_x': 0.030037805779583177, 'rotation_y': -0.11813108786236129, 'rotation_z': 1.8625954198473282, 'gps_x': 0, 'gps_y': 0, 'time': 1600433625.7768867}
[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.82, 'pressure_outside': 957.7695041606987, 'humidity_inside': 0, 'humidity_outside': 46.48323161403209, 'rotation_x': 0.03006703917736977, 'rotation_y': -0.11747238094236882, 'rotation_z': 1.6717557251908397, 'gps_x': 0, 'gps_y': 0, 'time': 1600433626.0176818}
[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.84, 'pressure_outside': 957.7826650902945, 'humidity_inside': 0, 'humidity_outside': 46.42414500532009, 'rotation_x': 0.03090917264243052, 'rotation_y': -0.11865036061620476, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600433626.2596493}
[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.104296875, 'pressure_inside': 965.78, 'pressure_outside': 957.7662139289688, 'humidity_inside': 0, 'humidity_outside': 46.34139532897657, 'rotation_x': 0.030879083808712675, 'rotation_y': -0.11829582784396499, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600433626.500112}
[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.73, 'pressure_outside': 957.7678590448004, 'humidity_inside': 0, 'humidity_outside': 46.32945692543925, 'rotation_x': 0.03057491270154647, 'rotation_y': -0.11806527127436439, 'rotation_z': 1.8549618320610688, 'gps_x': 0, 'gps_y': 0, 'time': 1600433626.7393246}
[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.84, 'pressure_outside': 957.7596334663123, 'humidity_inside': 0, 'humidity_outside': 46.64297261545348, 'rotation_x': 0.02965117235461186, 'rotation_y': -0.11796558290995846, 'rotation_z': 1.900763358778626, 'gps_x': 0, 'gps_y': 0, 'time': 1600433626.9814267}
[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.104296875, 'pressure_inside': 965.75, 'pressure_outside': 957.7744395087954, 'humidity_inside': 0, 'humidity_outside': 46.52485840920581, 'rotation_x': 0.029387300949208238, 'rotation_y': -0.11938159247133485, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600433627.2203398}
[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.73, 'pressure_outside': 957.7662139289688, 'humidity_inside': 0, 'humidity_outside': 46.554202203176445, 'rotation_x': 0.02929907327970068, 'rotation_y': -0.11899531268796931, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600433627.459642}
[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.78, 'pressure_outside': 957.7678590448004, 'humidity_inside': 0, 'humidity_outside': 46.50683311080664, 'rotation_x': 0.02876037181104475, 'rotation_y': -0.11876448372319548, 'rotation_z': 1.8549618320610688, 'gps_x': 0, 'gps_y': 0, 'time': 1600433627.7003324}
[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.104296875, 'pressure_inside': 965.76, 'pressure_outside': 957.7711546440634, 'humidity_inside': 0, 'humidity_outside': 46.50683311080664, 'rotation_x': 0.02968611318485564, 'rotation_y': -0.11890647448121311, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600433627.9382176}
[18/09/2020 14:53:50]{'temperature_inside': 26.6, 'temperature_outside': 25.088671875, 'pressure_inside': 965.85, 'pressure_outside': 957.790896204256, 'humidity_inside': 0, 'humidity_outside': 46.45377203165479, 'rotation_x': 0.029740056986877872, 'rotation_y': -0.11850731452845843, 'rotation_z': 1.8931297709923665, 'gps_x': 0, 'gps_y': 0, 'time': 1600433628.1797469}
