[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:00]{'temperature_inside': 27.4, 'temperature_outside': 26.03828125, 'pressure_inside': 966.13, 'pressure_outside': 958.2273398792609, 'humidity_inside': 0, 'humidity_outside': 52.46224666447966, 'rotation_x': -0.5182024259711132, 'rotation_y': 0.011923950078384274, 'rotation_z': 1.7251908396946565, 'gps_x': 0, 'gps_y': 0, 'time': 1600380180.6583502}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:04]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.07, 'pressure_outside': 958.2309605426116, 'humidity_inside': 0, 'humidity_outside': 52.550742427962845, 'rotation_x': -0.5166742344012616, 'rotation_y': 0.01010751527054441, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600380184.7327101}
[18/09/2020 00:03:08]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.09, 'pressure_outside': 958.229302637714, 'humidity_inside': 0, 'humidity_outside': 52.83457141706401, 'rotation_x': -0.516541890028687, 'rotation_y': 0.010914322272631836, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600380188.8068757}
[18/09/2020 00:03:08]{'temperature_inside': 27.4, 'temperature_outside': 26.0330078125, 'pressure_inside': 966.09, 'pressure_outside': 958.229302637714, 'humidity_inside': 0, 'humidity_outside': 52.83457141706401, 'rotation_x': -0.516541890028687, 'rotation_y': 0.010914322272631836, 'rotation_z': 1.786259541984733, 'gps_x': 0, 'gps_y': 0, 'time': 1600380188.8068757}
