[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.104296875, 'pressure_inside': 965.84, 'pressure_outside': 957.7725053580464, 'humidity_inside': 0, 'humidity_outside': 46.57205928788293, 'rotation_x': 0.03208878583832713, 'rotation_y': -0.15014063557047277, 'rotation_z': 1.8778625954198473, 'gps_x': 0, 'gps_y': 0, 'time': 1600434008.7186396}
[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.1146484375, 'pressure_inside': 965.79, 'pressure_outside': 957.7626293399428, 'humidity_inside': 0, 'humidity_outside': 46.299992450276505, 'rotation_x': 0.031674034677942386, 'rotation_y': -0.149854830208245, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600434008.9573038}
[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.78, 'pressure_outside': 957.7659247329956, 'humidity_inside': 0, 'humidity_outside': 46.48334423126461, 'rotation_x': 0.03076152303388002, 'rotation_y': -0.14998430684906416, 'rotation_z': 1.6793893129770991, 'gps_x': 0, 'gps_y': 0, 'time': 1600434009.199214}
[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.78, 'pressure_outside': 957.7593490527374, 'humidity_inside': 0, 'humidity_outside': 46.40645597764589, 'rotation_x': 0.031118801505509715, 'rotation_y': -0.14964763079048193, 'rotation_z': 1.6412213740458015, 'gps_x': 0, 'gps_y': 0, 'time': 1600434009.4413142}
[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.78, 'pressure_outside': 957.7609841975969, 'humidity_inside': 0, 'humidity_outside': 46.39457262713015, 'rotation_x': 0.03183947319928104, 'rotation_y': -0.15036088725039873, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600434009.6815}
[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.81, 'pressure_outside': 957.7760900332082, 'humidity_inside': 0, 'humidity_outside': 46.51291617383924, 'rotation_x': 0.031897126621901056, 'rotation_y': -0.151129466173402, 'rotation_z': 1.900763358778626, 'gps_x': 0, 'gps_y': 0, 'time': 1600434009.9216208}
[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.119921875, 'pressure_inside': 965.82, 'pressure_outside': 957.7741505144762, 'humidity_inside': 0, 'humidity_outside': 46.58980202160859, 'rotation_x': 0.032044881161346836, 'rotation_y': -0.15044058154439968, 'rotation_z': 1.9694656488549618, 'gps_x': 0, 'gps_y': 0, 'time': 1600434010.1582844}
[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.119921875, 'pressure_inside': 965.75, 'pressure_outside': 957.7642795769002, 'humidity_inside': 0, 'humidity_outside': 46.524744878899234, 'rotation_x': 0.03235063800163538, 'rotation_y': -0.1504106485372006, 'rotation_z': 1.8549618320610688, 'gps_x': 0, 'gps_y': 0, 'time': 1600434010.3984015}
[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.1146484375, 'pressure_inside': 965.88, 'pressure_outside': 957.7870171594403, 'humidity_inside': 0, 'humidity_outside': 46.24095157170037, 'rotation_x': 0.032254786102467035, 'rotation_y': -0.1504591956537084, 'rotation_z': 2.015267175572519, 'gps_x': 0, 'gps_y': 0, 'time': 1600434010.6367528}
[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.1146484375, 'pressure_inside': 965.81, 'pressure_outside': 957.7741453382363, 'humidity_inside': 0, 'humidity_outside': 46.45382903727964, 'rotation_x': 0.032993115276406415, 'rotation_y': -0.1502530126438103, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600434010.8758383}
[18/09/2020 15:00:13]{'temperature_inside': 26.6, 'temperature_outside': 25.1146484375, 'pressure_inside': 965.73, 'pressure_outside': 957.7938923968554, 'humidity_inside': 0, 'humidity_outside': 46.359139265626915, 'rotation_x': 0.032797610374154455, 'rotation_y': -0.15023753931803774, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600434011.115954}
