[16/09/2020 22:44:41]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:42]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:43]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:44]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:45]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:46]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:47]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:48]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:49]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:50]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:51]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:52]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:53]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
[16/09/2020 22:44:54]{'temperature_inside': 27.1, 'temperature_outside': 25.8255859375, 'pressure_inside': 962.13, 'pressure_outside': 954.2723048830312, 'humidity_inside': 0, 'humidity_outside': 52.30342236134615, 'rotation_x': -0.0065417935784006735, 'rotation_y': -0.4285100265491235, 'rotation_z': 1.6870229007633588, 'gps_x': 0, 'gps_y': 0, 'time': 1600289080.533947}
