[18/09/2020 15:16:22]{'temperature_inside': 26.6, 'temperature_outside': 25.06796875, 'pressure_inside': 965.78, 'pressure_outside': 957.7983499291975, 'humidity_inside': 0, 'humidity_outside': 46.67804551475483, 'rotation_x': -0.12112315126385607, 'rotation_y': -0.046783137001101725, 'rotation_z': 1.4198473282442747, 'gps_x': 0, 'gps_y': 0, 'time': 1600434978.1082258}
[18/09/2020 15:16:22]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.79, 'pressure_outside': 957.7769644548299, 'humidity_inside': 0, 'humidity_outside': 46.447410108626904, 'rotation_x': -0.12262102451965944, 'rotation_y': -0.04785299976699195, 'rotation_z': 1.6488549618320612, 'gps_x': 0, 'gps_y': 0, 'time': 1600434978.3472383}
[18/09/2020 15:16:22]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.78, 'pressure_outside': 957.7914711019396, 'humidity_inside': 0, 'humidity_outside': 46.54800146802143, 'rotation_x': -0.12334785533727341, 'rotation_y': -0.046741525787811815, 'rotation_z': 2.5267175572519083, 'gps_x': 0, 'gps_y': 0, 'time': 1600434978.5864162}
[18/09/2020 15:16:22]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.75, 'pressure_outside': 957.7931161517292, 'humidity_inside': 0, 'humidity_outside': 46.370582207536344, 'rotation_x': -0.12423769496675154, 'rotation_y': -0.046751606929719074, 'rotation_z': 1.9923664122137406, 'gps_x': 0, 'gps_y': 0, 'time': 1600434978.8273551}
[18/09/2020 15:16:22]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.73, 'pressure_outside': 957.7684404119107, 'humidity_inside': 0, 'humidity_outside': 46.5420876417281, 'rotation_x': -0.12429618702005792, 'rotation_y': -0.0462428974899145, 'rotation_z': 2.1908396946564888, 'gps_x': 0, 'gps_y': 0, 'time': 1600434979.067196}
[18/09/2020 15:16:22]{'temperature_inside': 26.6, 'temperature_outside': 25.08359375, 'pressure_inside': 965.76, 'pressure_outside': 957.8029986875252, 'humidity_inside': 0, 'humidity_outside': 46.57762899329674, 'rotation_x': -0.12440989963207626, 'rotation_y': -0.046829066308260156, 'rotation_z': 1.9236641221374047, 'gps_x': 0, 'gps_y': 0, 'time': 1600434979.3061473}
[18/09/2020 15:16:22]{'temperature_inside': 26.5, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.82, 'pressure_outside': 957.7816008046073, 'humidity_inside': 0, 'humidity_outside': 46.48897560769739, 'rotation_x': -0.12451537378147964, 'rotation_y': -0.04685901533400119, 'rotation_z': 2.1755725190839694, 'gps_x': 0, 'gps_y': 0, 'time': 1600434979.5459569}
[18/09/2020 15:16:22]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.68, 'pressure_outside': 957.8046315021297, 'humidity_inside': 0, 'humidity_outside': 46.46526418865699, 'rotation_x': -0.1238077133543506, 'rotation_y': -0.04783488103518391, 'rotation_z': -0.732824427480916, 'gps_x': 0, 'gps_y': 0, 'time': 1600434979.7846005}
[18/09/2020 15:16:22]{'temperature_inside': 26.6, 'temperature_outside': 25.0783203125, 'pressure_inside': 965.73, 'pressure_outside': 957.7783166746001, 'humidity_inside': 0, 'humidity_outside': 46.53623186545174, 'rotation_x': -0.1247591273407711, 'rotation_y': -0.04814916936228013, 'rotation_z': 1.3511450381679388, 'gps_x': 0, 'gps_y': 0, 'time': 1600434980.0230885}
[18/09/2020 15:16:22]{'temperature_inside': 26.6, 'temperature_outside': 25.08359375, 'pressure_inside': 965.78, 'pressure_outside': 957.7947612015857, 'humidity_inside': 0, 'humidity_outside': 46.382577075456666, 'rotation_x': -0.12473317224344475, 'rotation_y': -0.04820279976247205, 'rotation_z': 2.236641221374046, 'gps_x': 0, 'gps_y': 0, 'time': 1600434980.2630599}
[18/09/2020 15:16:22]{'temperature_inside': 26.6, 'temperature_outside': 25.08359375, 'pressure_inside': 965.84, 'pressure_outside': 957.8029986875252, 'humidity_inside': 0, 'humidity_outside': 46.41203745960291, 'rotation_x': -0.12411222411954566, 'rotation_y': -0.04857506985647632, 'rotation_z': 1.916030534351145, 'gps_x': 0, 'gps_y': 0, 'time': 1600434980.501582}
