[18/09/2020 15:21:39]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.85, 'pressure_outside': 957.8092801382543, 'humidity_inside': 0, 'humidity_outside': 46.4653764841964, 'rotation_x': -0.010924324004954336, 'rotation_y': 0.05367732123914573, 'rotation_z': 1.8396946564885497, 'gps_x': 0, 'gps_y': 0, 'time': 1600435298.2173898}
[18/09/2020 15:21:39]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.7, 'pressure_outside': 957.8221536942671, 'humidity_inside': 0, 'humidity_outside': 46.39446203977587, 'rotation_x': -0.01077910979810019, 'rotation_y': 0.05406625842317197, 'rotation_z': 1.9389312977099236, 'gps_x': 0, 'gps_y': 0, 'time': 1600435298.4618273}
[18/09/2020 15:21:39]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.85, 'pressure_outside': 957.8191566650331, 'humidity_inside': 0, 'humidity_outside': 46.317574431738095, 'rotation_x': -0.009966174358151848, 'rotation_y': 0.05378633507758798, 'rotation_z': 1.900763358778626, 'gps_x': 0, 'gps_y': 0, 'time': 1600435298.7051747}
[18/09/2020 15:21:39]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.82, 'pressure_outside': 957.7991162583114, 'humidity_inside': 0, 'humidity_outside': 46.60151510679817, 'rotation_x': -0.010096587180139067, 'rotation_y': 0.052157909732124856, 'rotation_z': 1.83206106870229, 'gps_x': 0, 'gps_y': 0, 'time': 1600435298.9487977}
[18/09/2020 15:21:40]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.91, 'pressure_outside': 957.8224468748471, 'humidity_inside': 0, 'humidity_outside': 46.39446203977587, 'rotation_x': -0.011139431279175363, 'rotation_y': 0.052914333435780794, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600435299.193972}
[18/09/2020 15:21:40]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.82, 'pressure_outside': 957.790896204256, 'humidity_inside': 0, 'humidity_outside': 46.299830890838784, 'rotation_x': -0.011027173175446155, 'rotation_y': 0.05338475496861926, 'rotation_z': 1.8702290076335877, 'gps_x': 0, 'gps_y': 0, 'time': 1600435299.436993}
[18/09/2020 15:21:40]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.74, 'pressure_outside': 957.8043507241825, 'humidity_inside': 0, 'humidity_outside': 46.4653764841964, 'rotation_x': -0.01063374565804668, 'rotation_y': 0.05356010985945568, 'rotation_z': 2.0229007633587788, 'gps_x': 0, 'gps_y': 0, 'time': 1600435299.6815414}
[18/09/2020 15:21:40]{'temperature_inside': 26.6, 'temperature_outside': 25.0939453125, 'pressure_inside': 965.82, 'pressure_outside': 957.814221350814, 'humidity_inside': 0, 'humidity_outside': 46.39462686132959, 'rotation_x': -0.010618428563675349, 'rotation_y': 0.05396021977849059, 'rotation_z': 1.9312977099236641, 'gps_x': 0, 'gps_y': 0, 'time': 1600435299.924784}
[18/09/2020 15:21:41]{'temperature_inside': 26.6, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.85, 'pressure_outside': 957.8089926428972, 'humidity_inside': 0, 'humidity_outside': 46.58383140607861, 'rotation_x': -0.011199733329924126, 'rotation_y': 0.05329256860163587, 'rotation_z': 1.717557251908397, 'gps_x': 0, 'gps_y': 0, 'time': 1600435300.1684976}
[18/09/2020 15:21:41]{'temperature_inside': 26.6, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.82, 'pressure_outside': 957.8024121188182, 'humidity_inside': 0, 'humidity_outside': 46.67845684758205, 'rotation_x': -0.01093835914063242, 'rotation_y': 0.05330380599680878, 'rotation_z': 1.816793893129771, 'gps_x': 0, 'gps_y': 0, 'time': 1600435300.4158173}
[18/09/2020 15:21:41]{'temperature_inside': 26.6, 'temperature_outside': 25.104296875, 'pressure_inside': 965.86, 'pressure_outside': 957.818863431023, 'humidity_inside': 0, 'humidity_outside': 46.453717126480676, 'rotation_x': -0.0117010066972905, 'rotation_y': 0.05324170506137329, 'rotation_z': 1.8091603053435115, 'gps_x': 0, 'gps_y': 0, 'time': 1600435300.6588786}
