[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.0990234375, 'pressure_inside': 965.88, 'pressure_outside': 957.853411208434, 'humidity_inside': 0, 'humidity_outside': 46.571944619141576, 'rotation_x': -0.12395962419605255, 'rotation_y': -0.047273749952916624, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600435051.5341902}
[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.94, 'pressure_outside': 957.8465316883027, 'humidity_inside': 0, 'humidity_outside': 46.430114086901604, 'rotation_x': -0.12384794130365848, 'rotation_y': -0.04609714871302005, 'rotation_z': 2.3206106870229006, 'gps_x': 0, 'gps_y': 0, 'time': 1600435051.7726877}
[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.88, 'pressure_outside': 957.8498219800202, 'humidity_inside': 0, 'humidity_outside': 46.56034509822883, 'rotation_x': -0.12434368234323769, 'rotation_y': -0.04719279421257816, 'rotation_z': 1.549618320610687, 'gps_x': 0, 'gps_y': 0, 'time': 1600435052.0084374}
[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.119921875, 'pressure_inside': 965.96, 'pressure_outside': 957.8580535811358, 'humidity_inside': 0, 'humidity_outside': 46.48340158527114, 'rotation_x': -0.12370972192510846, 'rotation_y': -0.046998076619861925, 'rotation_z': 1.83206106870229, 'gps_x': 0, 'gps_y': 0, 'time': 1600435052.247847}
[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.97, 'pressure_outside': 957.8465316883027, 'humidity_inside': 0, 'humidity_outside': 46.56023074732545, 'rotation_x': -0.12362970670762236, 'rotation_y': -0.04638022437876607, 'rotation_z': 1.8931297709923665, 'gps_x': 0, 'gps_y': 0, 'time': 1600435052.4857082}
[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.1146484375, 'pressure_inside': 965.86, 'pressure_outside': 957.8531122720052, 'humidity_inside': 0, 'humidity_outside': 46.672600222174175, 'rotation_x': -0.1234094108465703, 'rotation_y': -0.04631717595411155, 'rotation_z': 1.6641221374045803, 'gps_x': 0, 'gps_y': 0, 'time': 1600435052.7253165}
[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.81, 'pressure_outside': 957.8564141683538, 'humidity_inside': 0, 'humidity_outside': 46.5365735428336, 'rotation_x': -0.1245834217589122, 'rotation_y': -0.0471201776562062, 'rotation_z': 1.748091603053435, 'gps_x': 0, 'gps_y': 0, 'time': 1600435052.9640818}
[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.1095703125, 'pressure_inside': 966.06, 'pressure_outside': 957.8662793813528, 'humidity_inside': 0, 'humidity_outside': 46.631317365831414, 'rotation_x': -0.12426340605002192, 'rotation_y': -0.04751386121639977, 'rotation_z': 1.717557251908397, 'gps_x': 0, 'gps_y': 0, 'time': 1600435053.202104}
[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.119921875, 'pressure_inside': 965.9, 'pressure_outside': 957.8402501468933, 'humidity_inside': 0, 'humidity_outside': 46.71399856677351, 'rotation_x': -0.12483236330029429, 'rotation_y': -0.04672813021573409, 'rotation_z': 1.748091603053435, 'gps_x': 0, 'gps_y': 0, 'time': 1600435053.441461}
[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.1146484375, 'pressure_inside': 965.96, 'pressure_outside': 957.856402564258, 'humidity_inside': 0, 'humidity_outside': 46.341504619259915, 'rotation_x': -0.12418891484226549, 'rotation_y': -0.04638988727099453, 'rotation_z': 1.7938931297709924, 'gps_x': 0, 'gps_y': 0, 'time': 1600435053.6795213}
[18/09/2020 15:17:36]{'temperature_inside': 26.5, 'temperature_outside': 25.1095703125, 'pressure_inside': 965.83, 'pressure_outside': 957.8415962512283, 'humidity_inside': 0, 'humidity_outside': 46.60760347994496, 'rotation_x': -0.12374002270062867, 'rotation_y': -0.046789650567678476, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600435053.9190245}
