[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
[18/09/2020 14:35:51]{'temperature_inside': 26.5, 'temperature_outside': 24.9953125, 'pressure_inside': 965.99, 'pressure_outside': 957.9744254588434, 'humidity_inside': 0, 'humidity_outside': 46.26331627194085, 'rotation_x': 0.029116228950070343, 'rotation_y': -0.11882131491506381, 'rotation_z': 1.9541984732824427, 'gps_x': 0, 'gps_y': 0, 'time': 1600432550.5757182}
