[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
[18/09/2020 14:43:27]{'temperature_inside': 26.6, 'temperature_outside': 25.0732421875, 'pressure_inside': 965.93, 'pressure_outside': 957.8918192615441, 'humidity_inside': 0, 'humidity_outside': 46.293752858288826, 'rotation_x': 0.029917024148171552, 'rotation_y': -0.11752079168721838, 'rotation_z': 1.8244274809160306, 'gps_x': 0, 'gps_y': 0, 'time': 1600433007.1032495}
